Tool,Score,Description,URL,bio.tools URL
dictybase update 2011,0.333,"Database for the biology and genomics of the social amoeba Dictyostelium discoideum. It provides well integrated, high quality data and tools for Dictyostelium discoideum and related species. It houses the complete genome sequence, ESTs, and the entire body of literature relevant to Dictyostelium. This information is curated to provide accurate gene models and functional annotations, with the goal of fully annotating the genome to provide a reference genome in the Amoebozoa clade.",,https://bio.tools/dictybase update 2011
classyfire,0.333,"A webapplication for automated structural classification of chemical entities. This application uses a rule-based approach that relies on a comprehensible, comprehensive, and computable chemical taxonomy.",,https://bio.tools/classyfire
onclass,0.333,"Unifying single-cell annotations based on the Cell Ontology.

Single cell typing based on cell ontology.

please see the document of OnClass at https://onclass.readthedocs.io/en/latest/",https://github.com/wangshenguiuc/OnClass,https://bio.tools/onclass
gtrd,0.333,"An integrated view of transcription regulation.

ChIP-seq experiment information were collected in semi-automated way from literature, GEO and ENCODE.

Raw ChIP-seq data in the form of fastq and SRA files were fetched from ENCODE and SRA databases.

Clusters for the same TF revealed by different peak calling methods were joined into metaclusters. Metaclusters represent non-redundant set of transcription factor binding sites. The clustering algorithm used in GTRD is described in the main GTRD paper [6].",http://wiki.biouml.org/index.php/GTRD_Workflow,https://bio.tools/gtrd
bio2bel,0.333,Integration of Structured Biological Data Sources using Biological Expression Language.,https://github.com/bio2bel/bio2bel,https://bio.tools/bio2bel
biojs-vis-gprofiler,0.333,Retrieve most relevant GO terms from g:Profiler and render these as a string cloud.,,https://bio.tools/biojs-vis-gprofiler
lion-web,0.333,Web-based ontology enrichment tool for lipidomic data analysis.,https://github.com/martijnmolenaar/LION-web/issues,https://bio.tools/lion-web
pdbj,0.333,"Protein Data Bank Japan: a member of the worldwide Protein Data Bank (wwPDB), accepts and processes desposited data of experimentally determinded macromolecular structures.",,https://bio.tools/pdbj
ols dialog,0.333,Java front end to the Ontology Lookup Service allowing easy access to an extensive list of biomedical ontologies.,http://www.mybiosoftware.com/ols-dialog-3-4-0-java-front-ontology-lookup-service.html,https://bio.tools/ols dialog
nlprot,0.333,NLProt is a tool for finding protein names in natural language text. This data-mining method is a useful approach for extracting protein UniprotIDs from research articles for the construction of custom datasets and/or databases.,,https://bio.tools/nlprot
viseago,0.333,a Bioconductor package for clustering biological functions using Gene Ontology and semantic similarity | The main objective of ViSEAGO package is to carry out a data mining of biological functions and establish links between genes involved in the study,,https://bio.tools/viseago
godef,0.333,Find GO ontology terms by definition.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/godef
gostats,0.333,"A set of tools for interacting with GO and microarray data. A variety of basic manipulation tools for graphs, hypothesis testing and other simple calculations.",,https://bio.tools/gostats
hig2vec,0.333,"Hierarchical Representations of Gene Ontology and Genes in the Poincaré Ball.

Preprint version available here https://www.biorxiv.org/content/10.1101/2020.07.14.195750v1.

git clone https://github.com/JaesikKim/HiG2Vec.git.

Simply clone this repository via.",,https://bio.tools/hig2vec
go-elite,0.333,GO-Elite is designed to identify a minimal non-redundant set of biological Ontology terms or pathways to describe a particular set of genes or metabolites.,http://www.mybiosoftware.com/go-elite-1-2-5-software-for-extended-pathway-analysis.html,https://bio.tools/go-elite
bionet-mining,0.333,"The biological network mining workflow identifies frequent structural patterns in biochemical reaction networks encoded in the Systems Biology Markup Language (SBML).

The repository contains the scripts for a workflow that identifies frequent structural patterns in biochemical reaction networks encoded in the Systems Biology Markup Language.",,https://bio.tools/bionet-mining
bioportal,0.333,"BioPortal is a web accessible open repository of biomedical ontologies. Users may browse, search and visualize ontologies, as well as participate in the evaluation and evolution of ontology reviews by adding notes, corrections, reviews, etc. Data from other sources such as GEO, ClinicalTrials.gov and ArrayExpress may also be integrated with the ontologies.",,https://bio.tools/bioportal
yogy,0.333,"Eukaryotic Orthology (YOGY) is a resource for retrieving orthologous proteins from nine eukaryotic organisms. Using a gene or protein identifier as a query, this database provides comprehensive, combined information on orthologs in other species using data from five independent resources: KOGs, Inparanoid, Homologene, OrthoMCL, and a table of curated orthologs between budding yeast and fission yeast. Associated Gene Ontology (GO) terms of orthologs can also be retrieved.",,https://bio.tools/yogy
varimerge,0.333,"Building large updatable colored de Bruijn graphs via merging | VARI-merge is a pair of tools (vari-merge and color-merge) capable of merging the succinct colored de Bruijn graphs produced by VARI. The VARI-merge branch includes all of VARI | Cosmo is a fast, low-memory DNA assembler that uses a succinct de Bruijn graph | VARI is an extension to Cosmo and supports offline construction of succinct colored de Bruijn graphs. It can be found in the VARi branch, however all the components are also in this branch. You should use this branch for the VARI tools because it includes an important bugfix: Palendromes are not duplicated during the revcomp generation phase of succinct de Bruijn graph construction",,https://bio.tools/varimerge
planet microbe,0.333,"Planet Microbe is a platform for marine microbiology to discover and analyze interconnected 'omics and environmental data.

Data packages are ""data containers"" that conform to the Frictionless Data standard: http://frictionlessdata.io/specs/data-package/.

The Planet Microbe cyberinfrastructure system for marine microbiology brings together canonical marine datasets (such as HOT, TARA, OSD) into a unified platform, which leverages ontology terms to annotate, standardize and make the datasets metadata findable, accessible, interoperable and reusable (FAIR).",https://github.com/hurwitzlab/planet-microbe-datapackages,https://bio.tools/planet microbe
